Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Publisher,Document Type,Source,clean_title,clean_doi,ex_VRP,ex_Human,ex_Heur,VRP_Subtopic,Human_Subtopic,Heur_Subtopic
"Pham, V.H.S.; Nguyen, V.N.; Nguyen Dang, N.T.","Pham, Vu Hong Son (56611605800); Nguyen, Van Nam (57220916734); Nguyen Dang, Nghiep Trinh (58091289000)",56611605800; 57220916734; 58091289000,Applying a Hybrid Gray Wolf-Enhanced Whale Optimization Algorithm to the Capacitated Vehicle Routing Problem,2025,Journal of Advanced Transportation,2025,1,5584617,,,4,10.1155/atr/5584617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005279743&doi=10.1155%2Fatr%2F5584617&partnerID=40&md5=250b7825e3a5b91e2791a04ab0575c3e,"Faculty of Civil Engineering, Ho Chi Minh City University of Technology - HCMUT, Ho Chi Minh City, Viet Nam; Viet Nam National University Ho Chi Minh City, Ho Chi Minh City, Viet Nam","Pham, Vu Hong Son, Faculty of Civil Engineering, Ho Chi Minh City University of Technology - HCMUT, Ho Chi Minh City, Viet Nam, Viet Nam National University Ho Chi Minh City, Ho Chi Minh City, Viet Nam; Nguyen, Van Nam, Faculty of Civil Engineering, Ho Chi Minh City University of Technology - HCMUT, Ho Chi Minh City, Viet Nam, Viet Nam National University Ho Chi Minh City, Ho Chi Minh City, Viet Nam; Nguyen Dang, Nghiep Trinh, Faculty of Civil Engineering, Ho Chi Minh City University of Technology - HCMUT, Ho Chi Minh City, Viet Nam, Viet Nam National University Ho Chi Minh City, Ho Chi Minh City, Viet Nam",CVRP; decision-making support; enhanced whale optimization algorithm (hGWOAM); hybrid gray wolf,John Wiley and Sons Ltd,Article,Scopus,applying a hybrid gray wolfenhanced whale optimization algorithm to the capacitated vehicle routing problem,10.1155/atr/5584617,True,True,True,VRP T1,Human T1,Heur T1
"Ghahfarokhi, M.F.; Park, H.; Pandey, V.; Yoon, G.","Ghahfarokhi, Mandana Farhang (59306389500); Park, Hyoshin (57741167200); Pandey, Venktesh (57196424369); Yoon, Gyugeun (57214751676)",59306389500; 57741167200; 57196424369; 57214751676,Integrating Real-Time Machine Learning and Dynamic Charging for Electric Vehicle Routing,2025,"2025 59th Annual Conference on Information Sciences and Systems, CISS 2025",,,,,,0,10.1109/CISS64860.2025.10944688,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002725299&doi=10.1109%2FCISS64860.2025.10944688&partnerID=40&md5=de0b438721f5ff64bbac49047867c8dd,"Frank Batten College of Engineering and Technology, Norfolk, VA, United States; Architectural, North Carolina A&T College of Engineering, Greensboro, NC, United States; Department of Civil Engineering, Seoul National University, Seoul, South Korea","Ghahfarokhi, Mandana Farhang, Frank Batten College of Engineering and Technology, Norfolk, VA, United States; Park, Hyoshin, Frank Batten College of Engineering and Technology, Norfolk, VA, United States; Pandey, Venktesh, Architectural, North Carolina A&T College of Engineering, Greensboro, NC, United States; Yoon, Gyugeun, Department of Civil Engineering, Seoul National University, Seoul, South Korea",Charging Infrastructure; Dynamic Charging Systems; Electric Vehicle Routing; Sequential Decision-Making; Temporal Multimodal Learning; Time-Dependent Shortest Path; Travel Time Prediction,Institute of Electrical and Electronics Engineers Inc.,Conference paper,Scopus,integrating realtime machine learning and dynamic charging for electric vehicle routing,10.1109/ciss64860.2025.10944688,True,True,True,VRP T2,Human T3,Heur T2
"Song, S.; Fan, M.","Song, Shijun (11640944800); Fan, Min (57810714900)",11640944800; 57810714900,Emergency Routing Protocol for Intelligent Transportation Systems Using IoT and Generative Artificial Intelligence,2025,IEEE Transactions on Intelligent Transportation Systems,,,,,,3,10.1109/TITS.2025.3546340,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000469488&doi=10.1109%2FTITS.2025.3546340&partnerID=40&md5=1ca4542f9a62e5875a98681805a451fe,"Office of State-owned Assets and Laboratory Management, Southwest Jiaotong University, Chengdu, Sichuan, China; School of Civil Engineering, Southwest Jiaotong University, Chengdu, Sichuan, China; Ministry of Education of the People's Republic of China, Beijing, Beijing, China","Song, Shijun, Office of State-owned Assets and Laboratory Management, Southwest Jiaotong University, Chengdu, Sichuan, China; Fan, Min, School of Civil Engineering, Southwest Jiaotong University, Chengdu, Sichuan, China, Ministry of Education of the People's Republic of China, Beijing, Beijing, China",BDI-based decision making; generative AI; intelligent transportation systems; NS3 simulation; real-time routing,Institute of Electrical and Electronics Engineers Inc.,Article,Scopus,emergency routing protocol for intelligent transportation systems using iot and generative artificial intelligence,10.1109/tits.2025.3546340,True,True,True,VRP T1,Human T3,Other
"Eris, E.; Gul, Ö.M.; Bölük, P.S.","Eris, Cigdem (56191140200); Gul, Omer Melih (57201533880); Bölük, Pınar Sarısaray (59255797600)",56191140200; 57201533880; 59255797600,A NOVEL REINFORCEMENT LEARNING BASED ROUTING ALGORITHM FOR ENERGY MANAGEMENT IN NETWORKS,2024,Journal of Industrial and Management Optimization,20,12,,3678,3696,13,10.3934/jimo.2024049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199556904&doi=10.3934%2Fjimo.2024049&partnerID=40&md5=c000b4bcbfebe056596e864ace823b0a,"Department of Computer Engineering, Bahçeşehir Üniversitesi, Istanbul, Turkey; Informatics Institute, İstanbul Teknik Üniversitesi, Istanbul, Turkey; Department of Software Engineering, Bahçeşehir Üniversitesi, Istanbul, Turkey","Eris, Cigdem, Department of Computer Engineering, Bahçeşehir Üniversitesi, Istanbul, Turkey; Gul, Omer Melih, Department of Computer Engineering, Bahçeşehir Üniversitesi, Istanbul, Turkey, Informatics Institute, İstanbul Teknik Üniversitesi, Istanbul, Turkey; Bölük, Pınar Sarısaray, Department of Software Engineering, Bahçeşehir Üniversitesi, Istanbul, Turkey",Communication networks in operations research; decision making; distributed Systems; energy management; Network design and communication in computer systems; network protocols; performance evaluation and scheduling; resource and cost allocation; underwater acoustic sensor networks; Wireless sensor networks,American Institute of Mathematical Sciences,Article,Scopus,a novel reinforcement learning based routing algorithm for energy management in networks,10.3934/jimo.2024049,True,True,True,Other,Human T3,Other
"Kumar, A.; Misra, P.; Menon, V.; Bichpuriya, Y.; Sarangan, V.","Kumar, Anshu (59463505600); Misra, Prasant (35318214000); Menon, Vishnu P. (57196723862); Bichpuriya, Yogesh Kumar (12808789200); Sarangan, Venkatesh (6603657826)",59463505600; 35318214000; 57196723862; 12808789200; 6603657826,Energy for Infrastructure and Infrastructure for Energy: A Joint Optimization Approach for Enterprise Operations,2024,"BuildSys 2024 - Proceedings of the 2024 11th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",,,,184,188,1,10.1145/3671127.3698180,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211347276&doi=10.1145%2F3671127.3698180&partnerID=40&md5=7619e3291fc62cb478283eb8973fbde5,"TCS Research, Mumbai, MH, India","Kumar, Anshu, TCS Research, Mumbai, MH, India; Misra, Prasant, TCS Research, Mumbai, MH, India; Menon, Vishnu P., TCS Research, Mumbai, MH, India; Bichpuriya, Yogesh Kumar, TCS Research, Mumbai, MH, India; Sarangan, Venkatesh, TCS Research, Mumbai, MH, India",Decision Support System; Electric Vehicle Charging; Genetic Algorithm; Meta-Heuristic; Optimization; Power Procurement,"Association for Computing Machinery, Inc",Conference paper,Scopus,energy for infrastructure and infrastructure for energy a joint optimization approach for enterprise operations,10.1145/3671127.3698180,True,True,True,VRP T2,Human T1,Heur T1
"D'Haen, R.; Ramaekers, K.; Archetti, C.; Braekers, K.","D'Haen, Ruben (57222595721); Ramaekers, Katrien M. (15127894700); Archetti, Claudia (6506478737); Braekers, Kris (50861009300)",57222595721; 15127894700; 6506478737; 50861009300,Integrating order picking and vehicle routing decisions in a dynamic e-commerce setting,2024,Computers and Operations Research,170,,106762,,,2,10.1016/j.cor.2024.106762,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198049204&doi=10.1016%2Fj.cor.2024.106762&partnerID=40&md5=68e6b6c42005f3744a8100e6da342505,"UHasselt, Research Group Logistics, Diepenbeek, Belgium; Research Foundation - Flanders, Brussels, BRU, Belgium; Department of Information Systems, ESSEC Business School, Cergy-Pontoise, France","D'Haen, Ruben, UHasselt, Research Group Logistics, Diepenbeek, Belgium, Research Foundation - Flanders, Brussels, BRU, Belgium; Ramaekers, Katrien M., UHasselt, Research Group Logistics, Diepenbeek, Belgium; Archetti, Claudia, Department of Information Systems, ESSEC Business School, Cergy-Pontoise, France; Braekers, Kris, UHasselt, Research Group Logistics, Diepenbeek, Belgium",Integrated decision making; Metaheuristics; Order batching; Order picking; Vehicle routing,Elsevier Ltd,Article,Scopus,integrating order picking and vehicle routing decisions in a dynamic ecommerce setting,10.1016/j.cor.2024.106762,True,True,True,VRP T2,Human T3,Heur T1
"Sirbiladze, G.; Ghvaberidze, B.; Midodashvili, B.; Matsaberidze, B.; Khutsishvili, I.","Sirbiladze, Gia G. (55975101400); Ghvaberidze, Bezhan (26321063400); Midodashvili, Bidzina G. (24332709200); Matsaberidze, Bidzina (26321150500); Khutsishvili, Irina (35076126000)",55975101400; 26321063400; 24332709200; 26321150500; 35076126000,A new fuzzy approach of vehicle routing problem for disaster-stricken zones,2024,Georgian Mathematical Journal,31,4,,701,722,2,10.1515/gmj-2023-2097,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180091430&doi=10.1515%2Fgmj-2023-2097&partnerID=40&md5=c8c85af941ee18c70378a375fbb07d5d,"Department of Computer Science, Ivane Javakhishvili Tbilisi State University, Tbilisi, Georgia","Sirbiladze, Gia G., Department of Computer Science, Ivane Javakhishvili Tbilisi State University, Tbilisi, Georgia; Ghvaberidze, Bezhan, Department of Computer Science, Ivane Javakhishvili Tbilisi State University, Tbilisi, Georgia; Midodashvili, Bidzina G., Department of Computer Science, Ivane Javakhishvili Tbilisi State University, Tbilisi, Georgia; Matsaberidze, Bidzina, Department of Computer Science, Ivane Javakhishvili Tbilisi State University, Tbilisi, Georgia; Khutsishvili, Irina, Department of Computer Science, Ivane Javakhishvili Tbilisi State University, Tbilisi, Georgia",Choquet integral; fuzzy measure; fuzzy numbers; Multi-criteria vehicle routing problem; Pareto solution; partitioning problem; possibility measure,Walter de Gruyter GmbH,Article,Scopus,a new fuzzy approach of vehicle routing problem for disasterstricken zones,10.1515/gmj-2023-2097,True,True,True,VRP T2,Human T2,Heur T4
"Janinhoff, L.; Klein, R.; Scholz, D.","Janinhoff, Lukas (58120226400); Klein, Robert (57199458980); Scholz, Daniel (58120334600)",58120226400; 57199458980; 58120334600,Multitrip vehicle routing with delivery options: a data-driven application to the parcel industry,2024,OR Spectrum,46,2,,241,294,12,10.1007/s00291-023-00710-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149021851&doi=10.1007%2Fs00291-023-00710-6&partnerID=40&md5=2a0148fbbce3febf7e395d810438f1b9,"Department of Analytics and Optimization, Universität Augsburg, Augsburg, Bayern, Germany; General Logistics Systems Germany GmbH and Co. OHG, Eschborn, Germany","Janinhoff, Lukas, Department of Analytics and Optimization, Universität Augsburg, Augsburg, Bayern, Germany; Klein, Robert, Department of Analytics and Optimization, Universität Augsburg, Augsburg, Bayern, Germany; Scholz, Daniel, General Logistics Systems Germany GmbH and Co. OHG, Eschborn, Germany",Adaptive large neighborhood search; Data-driven decision making; Demand management; Fulfillment options; Last-mile delivery; Vehicle routing,Springer Science and Business Media Deutschland GmbH,Article,Scopus,multitrip vehicle routing with delivery options a datadriven application to the parcel industry,10.1007/s00291-023-00710-6,True,True,True,VRP T2,Human T3,Heur T3
"Kara, K.; Yalcin, G.C.; Simic, V.; Gürol, P.; Pamucar, D.","Kara, Karahan (57480381600); Yalcin, Galip Cihan (58061965500); Simic, Vladimir M. (7005545253); Gürol, Pınar (58810438300); Pamucar, Dragan Stevan S. (54080216100)",57480381600; 58061965500; 7005545253; 58810438300; 54080216100,Vehicle routing software selection for last mile delivery companies using Fermatean fuzzy-based model,2024,Engineering Applications of Artificial Intelligence,131,,107813,,,5,10.1016/j.engappai.2023.107813,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182283512&doi=10.1016%2Fj.engappai.2023.107813&partnerID=40&md5=cb2354aa0da22dbf7ce67f3c1ebf320d,"Logistics Program, Artvin Coruh University, Artvin, Artvin, Turkey; Mathematics Program, Kirikkale Üniversitesi, Kirikkale, Turkey; Faculty of Transport and Traffic Engineering, University of Belgrade, Belgrade, Serbia; Department of Industrial Engineering and Management, Yuan Ze University, Taoyuan, Taiwan; Istanbul Ticaret Üniversitesi, Istanbul, Turkey; Transport and Logistics Competence Centre, Vilniaus Gedimino Technikos Universitetas, Vilnius, Lithuania","Kara, Karahan, Logistics Program, Artvin Coruh University, Artvin, Artvin, Turkey; Yalcin, Galip Cihan, Mathematics Program, Kirikkale Üniversitesi, Kirikkale, Turkey; Simic, Vladimir M., Faculty of Transport and Traffic Engineering, University of Belgrade, Belgrade, Serbia, Department of Industrial Engineering and Management, Yuan Ze University, Taoyuan, Taiwan; Gürol, Pınar, Istanbul Ticaret Üniversitesi, Istanbul, Turkey; Pamucar, Dragan Stevan S., Transport and Logistics Competence Centre, Vilniaus Gedimino Technikos Universitetas, Vilnius, Lithuania",Alternative ranking order method accounting for two-step normalization; Fermatean fuzzy sets; Last mile delivery; Preference selection index; Vehicle routing software selection,Elsevier Ltd,Article,Scopus,vehicle routing software selection for last mile delivery companies using fermatean fuzzybased model,10.1016/j.engappai.2023.107813,True,True,True,VRP T2,Human T2,Heur T4
"Ghiasvand, M.; Rahmani, D.; Moshref-Javadi, M.","Ghiasvand, Mohsen Roytvand (58545749400); Rahmani, Donya (47661624600); Moshref-Javadi, Mohammad (55911808200)",58545749400; 47661624600; 55911808200,Data-driven robust optimization for a multi-trip truck-drone routing problem,2024,Expert Systems with Applications,241,,122485,,,24,10.1016/j.eswa.2023.122485,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178424018&doi=10.1016%2Fj.eswa.2023.122485&partnerID=40&md5=23bc9952970ed41467fcf737969656fc,"Department of Industrial Engineering, K. N. Toosi University of Technology, Tehran, Tehran, Iran; Gies College of Business, Champaign, IL, United States","Ghiasvand, Mohsen Roytvand, Department of Industrial Engineering, K. N. Toosi University of Technology, Tehran, Tehran, Iran; Rahmani, Donya, Department of Industrial Engineering, K. N. Toosi University of Technology, Tehran, Tehran, Iran; Moshref-Javadi, Mohammad, Gies College of Business, Champaign, IL, United States",Data-driven modeling; Drone delivery; Robust optimization; Vehicle routing problem,Elsevier Ltd,Article,Scopus,datadriven robust optimization for a multitrip truckdrone routing problem,10.1016/j.eswa.2023.122485,True,True,True,VRP T2,Human T2,Heur T3
"Zhang, J.; Yan, M.; Zuo, L.","Zhang, Jinqi (57420394800); Yan, Maode (12781023200); Zuo, Lei (56448030600)",57420394800; 12781023200; 56448030600,Deep Q-network based multi-layer safety lane changing strategy for vehicle platoon,2024,IET Intelligent Transport Systems,18,4,,645,656,8,10.1049/itr2.12459,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178433757&doi=10.1049%2Fitr2.12459&partnerID=40&md5=ecaf3396bcedc4d85bf43a3beb2a95fb,"School of Electronic and Control Engineering, Chang'an University, Xi'an, Shaanxi, China","Zhang, Jinqi, School of Electronic and Control Engineering, Chang'an University, Xi'an, Shaanxi, China; Yan, Maode, School of Electronic and Control Engineering, Chang'an University, Xi'an, Shaanxi, China; Zuo, Lei, School of Electronic and Control Engineering, Chang'an University, Xi'an, Shaanxi, China",decision making; intelligent transportation systems; learning (artificial intelligence); vehicle routing,John Wiley and Sons Inc,Article,Scopus,deep qnetwork based multilayer safety lane changing strategy for vehicle platoon,10.1049/itr2.12459,True,True,True,VRP T2,Human T3,Heur T2
"Canoy, R.; Bucarey, V.; Mandi, J.; Mulamba, M.; Molenbruch, Y.; Guns, T.","Canoy, Rocsildes (57211805335); Bucarey, Víctor (57063446700); Mandi, Jayanta (57207910170); Mulamba, Maxime (57219307309); Molenbruch, Yves (56910257600); Guns, Tias (26534198800)",57211805335; 57063446700; 57207910170; 57219307309; 56910257600; 26534198800,Probability estimation and structured output prediction for learning preferences in last mile delivery,2024,Computers and Industrial Engineering,189,,109932,,,5,10.1016/j.cie.2024.109932,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183941016&doi=10.1016%2Fj.cie.2024.109932&partnerID=40&md5=b245b68740a549573333821106d096c1,"Data Analytics Laboratory, Vrije Universiteit Brussel, Brussels, BRU, Belgium; Institute of Engineering Sciences, Universidad de O’Higgins, Rancagua, LI, Chile; Instituto Sistemas Complejos de Ingeniería, Santiago, RM, Chile; KU Leuven, Leuven, Vlaams-Brabant, Belgium; Vrije Universiteit Brussel, Brussels, BRU, Belgium","Canoy, Rocsildes, Data Analytics Laboratory, Vrije Universiteit Brussel, Brussels, BRU, Belgium, Vrije Universiteit Brussel, Brussels, BRU, Belgium; Bucarey, Víctor, Institute of Engineering Sciences, Universidad de O’Higgins, Rancagua, LI, Chile, Instituto Sistemas Complejos de Ingeniería, Santiago, RM, Chile; Mandi, Jayanta, Data Analytics Laboratory, Vrije Universiteit Brussel, Brussels, BRU, Belgium; Mulamba, Maxime, Data Analytics Laboratory, Vrije Universiteit Brussel, Brussels, BRU, Belgium; Molenbruch, Yves, Vrije Universiteit Brussel, Brussels, BRU, Belgium; Guns, Tias, KU Leuven, Leuven, Vlaams-Brabant, Belgium",Preference learning; Structured output prediction; Traveling salesman problem,Elsevier Ltd,Article,Scopus,probability estimation and structured output prediction for learning preferences in last mile delivery,10.1016/j.cie.2024.109932,True,True,True,VRP T1,Human T2,Heur T2
"Chow, M.S.; Prahadeeswaran, M.; Karthick, V.; Sumathi, C.S.; Patil, S.G.","Chow, Mantaw Suliyaa (59147954800); Prahadeeswaran, M. (55532073000); Karthick, Varadhan (59144706100); Sumathi, C. S. (58740146900); Patil, Santosh Ganapati (57014096000)",59147954800; 55532073000; 59144706100; 58740146900; 57014096000,Adaptive routing in agricultural supply chains: Harnessing Qlearning for optimal decision-making in dynamic environments,2024,Plant Science Today,11,,,,,1,10.14719/pst.5426,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212707105&doi=10.14719%2Fpst.5426&partnerID=40&md5=cc18dec21d67404e2763820d4a52cc21,"Department of Agricultural Economics, Tamil Nadu Agricultural University, Coimbatore, TN, India; Department of Physical Sciences and Information Technology, Tamil Nadu Agricultural University, Coimbatore, TN, India","Chow, Mantaw Suliyaa, Department of Agricultural Economics, Tamil Nadu Agricultural University, Coimbatore, TN, India; Prahadeeswaran, M., Department of Agricultural Economics, Tamil Nadu Agricultural University, Coimbatore, TN, India; Karthick, Varadhan, Department of Agricultural Economics, Tamil Nadu Agricultural University, Coimbatore, TN, India; Sumathi, C. S., Department of Physical Sciences and Information Technology, Tamil Nadu Agricultural University, Coimbatore, TN, India; Patil, Santosh Ganapati, Department of Physical Sciences and Information Technology, Tamil Nadu Agricultural University, Coimbatore, TN, India",logistics; Markov Decision Process (MDP); Q-learning; routing optimization,Horizon e-Publishing Group,Article,Scopus,adaptive routing in agricultural supply chains harnessing qlearning for optimal decisionmaking in dynamic environments,10.14719/pst.5426,True,True,True,VRP T3,Other,Heur T2
"Nadi, A.; Yorke-Smith, N.; Snelder, M.; van Lint, J.W.C.; Tavasszy, L.","Nadi, Ali (57221630988); Yorke-Smith, Neil (14066706700); Snelder, Maaike (24072197000); van Lint, J. W.C. (7003661973); Tavasszy, Lóránt A. (41762713200)",57221630988; 14066706700; 24072197000; 7003661973; 41762713200,Data-driven preference-based routing and scheduling for activity-based freight transport modelling,2024,Transportation Research Part C: Emerging Technologies,158,,104413,,,12,10.1016/j.trc.2023.104413,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177795234&doi=10.1016%2Fj.trc.2023.104413&partnerID=40&md5=ac43f20300391ce8ad4f64e52c45b2e8,"Department of Transport & Planning, TU Delft, Delft, Zuid-Holland, Netherlands; Delft University of Technology, Delft, Zuid-Holland, Netherlands; Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO, The Hague, Zuid-Holland, Netherlands","Nadi, Ali, Department of Transport & Planning, TU Delft, Delft, Zuid-Holland, Netherlands; Yorke-Smith, Neil, Delft University of Technology, Delft, Zuid-Holland, Netherlands; Snelder, Maaike, Department of Transport & Planning, TU Delft, Delft, Zuid-Holland, Netherlands, Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO, The Hague, Zuid-Holland, Netherlands; van Lint, J. W.C., Department of Transport & Planning, TU Delft, Delft, Zuid-Holland, Netherlands; Tavasszy, Lóránt A., Department of Transport & Planning, TU Delft, Delft, Zuid-Holland, Netherlands",Activity-based tour modelling; Bayesian optimization; Data-driven routing and scheduling; Freight transport modelling; Preference-based vehicle routing,Elsevier Ltd,Article,Scopus,datadriven preferencebased routing and scheduling for activitybased freight transport modelling,10.1016/j.trc.2023.104413,True,True,True,VRP T1,Human T2,Heur T3
"Saidala, R.K.; Meduri, S.S.; Tetali, A.K.; Burri, R.D.; Radder, U.; Londhe, G.V.","Saidala, Ravi Kumar (56986459200); Meduri, Subrahmanya S. (60007756500); Tetali, Anil Kumar Reddy (60007911200); Burri, Rama Devi (57209179185); Radder, Umesharaddy (57215927102); Londhe, Gaurav Vishnu (57212492961)",56986459200; 60007756500; 60007911200; 57209179185; 57215927102; 57212492961,Supervised Deep Learning Methodology for Autonomous Vehicle Routing,2024,"3rd International Conference on Advances in Computing, Communication and Materials, ICACCM 2024",,,,,,0,10.1109/ICACCM61117.2024.11059045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011263057&doi=10.1109%2FICACCM61117.2024.11059045&partnerID=40&md5=c1b61e79effbbc0d7001d90892993a65,"Department of Data Science, CMR University, Bengaluru, KA, India; Wipro Limited, Bengaluru, KA, India; Department of CSE, Sri Vasavi Engineering College, Tadepalligudem, AP, India; Department of IT, Institute of Aeronautical Engineering, Hyderabad, Hyderabad, TS, India; Department of Electrical & Computer Engineering, CMR University, Bengaluru, KA, India; Department of Cse, Karnavati University, Gandhinagar, GJ, India","Saidala, Ravi Kumar, Department of Data Science, CMR University, Bengaluru, KA, India; Meduri, Subrahmanya S., Wipro Limited, Bengaluru, KA, India; Tetali, Anil Kumar Reddy, Department of CSE, Sri Vasavi Engineering College, Tadepalligudem, AP, India; Burri, Rama Devi, Department of IT, Institute of Aeronautical Engineering, Hyderabad, Hyderabad, TS, India; Radder, Umesharaddy, Department of Electrical & Computer Engineering, CMR University, Bengaluru, KA, India; Londhe, Gaurav Vishnu, Department of Cse, Karnavati University, Gandhinagar, GJ, India",Artificial Neural Network; Automated Transport; Autonomous; Computing Efficiency; Decision Making Process; Energy/Optimization/Efficiency; High Level AI; Measurements for Simulation; Navigation; Performance and Security; Policy Space Approach; Precision; Q-learning; Reinforcement Learning Algorithms; Road Mapping; Robustness; Route Identification; Route Optimization; Speed and Efficiency; Time Optimization; Transport Technologies; Vehicle Navigation,Institute of Electrical and Electronics Engineers Inc.,Conference paper,Scopus,supervised deep learning methodology for autonomous vehicle routing,10.1109/icaccm61117.2024.11059045,True,True,True,VRP T1,Human T3,Heur T2
"Dieter, P.; Caron, M.; Schryen, G.","Dieter, Peter (58248623000); Caron, Matthew (57201639864); Schryen, Guido (17136223900)",58248623000; 57201639864; 17136223900,Integrating driver behavior into last-mile delivery routing: Combining machine learning and optimization in a hybrid decision support framework,2023,European Journal of Operational Research,311,1,,283,300,41,10.1016/j.ejor.2023.04.043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159374757&doi=10.1016%2Fj.ejor.2023.04.043&partnerID=40&md5=817e6f95afbf65c5dd893bc4568b8e20,"Paderborn University, Paderborn, Nordrhein-Westfalen, Germany","Dieter, Peter, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany; Caron, Matthew, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany; Schryen, Guido, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany",Driver behavior; Last-mile delivery; Machine learning; Transportation,Elsevier B.V.,Article,Scopus,integrating driver behavior into lastmile delivery routing combining machine learning and optimization in a hybrid decision support framework,10.1016/j.ejor.2023.04.043,True,True,True,Other,Other,Heur T2
"Peivastehgar, H.R.; Divsalar, A.; Paydar, M.M.; Chitsaz, M.","Peivastehgar, Hamid Reza (58317638400); Divsalar, Ali (35731315500); Paydar, Mohammad Mahdi (23025569300); Chitsaz, Masoud (56592754600)",58317638400; 35731315500; 23025569300; 56592754600,A green production routing problem for medical nitrous oxide: Model and solution approach,2023,Expert Systems with Applications,230,,120704,,,10,10.1016/j.eswa.2023.120704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162166288&doi=10.1016%2Fj.eswa.2023.120704&partnerID=40&md5=59ec574178eb67e99f0bb7b021cdd0be,"Department of Industrial Engineering, Babol Noshirvani University of Technology, Babol, Mazandaran, Iran; Kinaxis Inc., Ottawa, ON, Canada","Peivastehgar, Hamid Reza, Department of Industrial Engineering, Babol Noshirvani University of Technology, Babol, Mazandaran, Iran; Divsalar, Ali, Department of Industrial Engineering, Babol Noshirvani University of Technology, Babol, Mazandaran, Iran; Paydar, Mohammad Mahdi, Department of Industrial Engineering, Babol Noshirvani University of Technology, Babol, Mazandaran, Iran; Chitsaz, Masoud, Kinaxis Inc., Ottawa, ON, Canada",Branch-and-Cut; Fuzzy Goal Programming (FGP); GHG emissions; Multi-objective decision making; Nitrous Oxide; Production-Routing Problem (PRP),Elsevier Ltd,Article,Scopus,a green production routing problem for medical nitrous oxide model and solution approach,10.1016/j.eswa.2023.120704,True,True,True,VRP T1,Human T3,Heur T4
"Michalak, K.; Lipiński, P.","Michalak, Krzysztof (8931699500); Lipiński, Piotr F.J. (57189458583)",8931699500; 57189458583,Knowledge-based optimization algorithm for the inventory routing problem,2023,Soft Computing,27,22,,16959,16981,3,10.1007/s00500-023-09024-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168579319&doi=10.1007%2Fs00500-023-09024-9&partnerID=40&md5=901a6cc1b9acdb5b59c5273dc25bed99,"Department of Information Technologies, Uniwersytet Ekonomiczny we Wrocławiu, Wroclaw, Lower Silesian, Poland; Computational Intelligence Research Group, University of Wrocław, Wroclaw, Lower Silesian, Poland","Michalak, Krzysztof, Department of Information Technologies, Uniwersytet Ekonomiczny we Wrocławiu, Wroclaw, Lower Silesian, Poland; Lipiński, Piotr F.J., Computational Intelligence Research Group, University of Wrocław, Wroclaw, Lower Silesian, Poland",Combinatorial optimization; Knowledge-based optimization; Transportation optimization,Springer Science and Business Media Deutschland GmbH,Article,Scopus,knowledgebased optimization algorithm for the inventory routing problem,10.1007/s00500-023-09024-9,True,True,True,Other,Human T2,Heur T1
